Date,Target,Forecasted_Vol
2024-03-28,0.0990382319948233,0.10350793
2024-04-01,0.0993800560694838,0.10276672
2024-04-02,0.0982660264467354,0.1038834
2024-04-03,0.0981010446094291,0.103005394
2024-04-04,0.1014249623352423,0.104412585
2024-04-05,0.1059951152489933,0.105468936
2024-04-08,0.1007288093027282,0.108222164
2024-04-09,0.0980326552253749,0.10699228
2024-04-10,0.104829146010623,0.104412585
2024-04-11,0.1013604000968012,0.10946619
2024-04-12,0.112342165896189,0.10839947
2024-04-15,0.1199130533343895,0.11414405
2024-04-16,0.115433491786052,0.12113654
2024-04-17,0.1143023483660046,0.118591145
2024-04-18,0.1116925999917481,0.118318155
2024-04-19,0.1072090341273521,0.118812256
2024-04-22,0.1128979394128661,0.113852315
2024-04-23,0.1227380332599078,0.11731187
2024-04-24,0.1226834372943531,0.12567125
2024-04-25,0.1229739342894985,0.12912497
2024-04-26,0.1240883148716583,0.12743105
2024-04-29,0.1252033478959043,0.12912497
2024-04-30,0.1352736991226178,0.12912497
2024-05-01,0.1343935503538294,0.13642332
2024-05-02,0.13948363084349,0.138409
2024-05-03,0.1411847719973239,0.13858284
2024-05-06,0.1410733527608565,0.13946119
2024-05-07,0.1411213777501044,0.13976055
2024-05-08,0.1410459808174725,0.13951357
2024-05-09,0.137701928809483,0.13951357
2024-05-10,0.1354054007722251,0.13760176
2024-05-13,0.1252614633326886,0.13513914
2024-05-14,0.1156392569649435,0.1279275
2024-05-15,0.1204029839279359,0.12132545
2024-05-16,0.1177326902124182,0.11974655
2024-05-17,0.1166049377726395,0.11978467
2024-05-20,0.1090571150494006,0.11871736
2024-05-21,0.1069213842486799,0.11443193
2024-05-22,0.1036130898960235,0.11079505
2024-05-23,0.1084717606648212,0.10898978
2024-05-24,0.1075602939496686,0.111076556
2024-05-28,0.1045746868147378,0.11206783
2024-05-29,0.1089035715364309,0.10990493
2024-05-30,0.0938477320619019,0.1128256
2024-05-31,0.0949920371779315,0.1031609
2024-06-03,0.0918291489765934,0.09932989
2024-06-04,0.0839859550938335,0.09956856
2024-06-05,0.0861412325849455,0.09237752
2024-06-06,0.0863167838126589,0.093270935
2024-06-07,0.0867212497471481,0.094184704
2024-06-10,0.0855716347991176,0.094184704
2024-06-11,0.0856411509600804,0.093085356
2024-06-12,0.088567729926237,0.093761176
2024-06-13,0.0880103346750467,0.093761176
2024-06-14,0.0791486032130427,0.094184704
2024-06-17,0.0815629256142143,0.090751015
2024-06-18,0.081619170025126,0.08913454
2024-06-20,0.0830263199383879,0.08913454
2024-06-21,0.0855292699577052,0.08913454
2024-06-24,0.0857607831591298,0.090746
2024-06-25,0.0804122393376896,0.09266183
2024-06-26,0.0784014851107536,0.08981006
2024-06-27,0.0783581047936075,0.08577647
2024-06-28,0.0747933676789871,0.086053394
2024-07-01,0.0684806145980958,0.083950266
2024-07-02,0.0658619914628805,0.07715505
2024-07-03,0.0663005377972396,0.07715505
2024-07-05,0.0673791689180617,0.07715505
2024-07-08,0.057878572032302,0.07715505
2024-07-09,0.0575871028705764,0.06976448
2024-07-10,0.0626942893456313,0.06798202
2024-07-11,0.0733197592509128,0.072272405
2024-07-12,0.074928893465783,0.07842968
2024-07-15,0.0715723174368608,0.081281684
2024-07-16,0.0730186458198228,0.08010709
2024-07-17,0.0917858443036668,0.07968058
2024-07-18,0.0933771446626274,0.09214959
2024-07-19,0.0962203033909987,0.09846922
2024-07-22,0.1018602077185121,0.10052854
2024-07-23,0.1004440946198474,0.10460826
2024-07-24,0.1293938276239943,0.10773685
2024-07-25,0.1296951766400192,0.129679
2024-07-26,0.1358166604807933,0.13173608
2024-07-29,0.1357068096199291,0.13583672
2024-07-30,0.1361643614725592,0.13877253
2024-07-31,0.1473549743578596,0.1400576
2024-08-01,0.1539380776005173,0.14548433
2024-08-02,0.1651266047546895,0.15387365
2024-08-05,0.188835409490291,0.16543747
2024-08-06,0.1932207133751559,0.18341456
2024-08-07,0.1930980028695799,0.19092563
2024-08-08,0.2088657905033124,0.19320929
2024-08-09,0.2090505928464038,0.20340009
2024-08-12,0.2070973831665363,0.2086936
2024-08-13,0.2164077708018885,0.2086936
2024-08-14,0.215395332667254,0.21064267
