Date,Price,Log_Returns,Realized_Vol,EMA_12,EMA_26,MACD,RSI,Squared_Returns
2014-08-11,193.8000030517578,0.0028937470907637024,0.1155036484288105,193.97491602944928,194.9048845128691,-0.9299684834198274,34.240734344463334,8.37377222530339e-06
2014-08-12,193.52999877929688,-0.001394182298915415,0.1136316729945672,193.90646722173352,194.80304112519707,-0.8965739034635476,31.472110987305015,1.9437442826090718e-06
2014-08-13,194.83999633789062,0.006746157238177152,0.11667062345289964,194.0500870857577,194.80577854835957,-0.7556914626018738,37.37577608348332,4.5510637482209974e-05
2014-08-14,195.75999450683594,0.004710700930836769,0.11719174412556305,194.31314976592358,194.8764612119504,-0.5633114460268303,43.50131793966315,2.21907032597864e-05
2014-08-15,195.72000122070312,-0.00020431841579859373,0.11028575257945787,194.52958845127426,194.93894565704323,-0.40935720576896983,43.085111239845666,4.174601503444704e-08
2014-08-18,197.36000061035156,0.00834440265577117,0.10833221607948532,194.9650364757477,195.118283060992,-0.1532465852443181,51.2950196445853,6.962905568164097e-05
2014-08-19,198.38999938964844,0.005205311964475726,0.10962683633276601,195.49195384711703,195.36063241867026,0.13132142844676764,54.188954932672814,2.7095272647514138e-05
2014-08-20,198.9199981689453,0.0026679373634005605,0.10898842730025025,196.01934528124445,195.62428914091288,0.395056140331576,71.64066332038547,7.117889775028735e-06
2014-08-21,199.5,0.002911511688360783,0.10917883354241455,196.55483062259145,195.91137883417858,0.6434517884128752,76.00292931995338,8.476900311461459e-06
2014-08-22,199.19000244140625,-0.0015550809860649785,0.10934913015283303,196.96024167163986,196.15423984212137,0.8060018295184932,71.40547023000308,2.418276873220826e-06
2014-08-25,200.1999969482422,0.005057696293721403,0.10914800721838738,197.45866556034792,196.45392555368588,1.0047400066620469,85.57773889065649,2.5580291799523213e-05
2014-08-26,200.3300018310547,0.0006491642961786279,0.10914595867277026,197.9004096019951,196.74104231497245,1.1593672870226612,85.66491019321208,4.214142834330933e-07
2014-08-27,200.25,-0.0003994299852845429,0.10776092100972709,198.26188504784201,197.000965106456,1.260919941386021,93.40868860561616,1.5954431314441016e-07
2014-08-28,200.13999938964844,-0.0005494673357816639,0.10784074289330284,198.55082571581224,197.23348616447026,1.3173395513419734,90.49297414240839,3.0191435309099976e-07
2014-08-29,200.7100067138672,0.002843995009300593,0.07727844117484292,198.8830074078207,197.49100620516631,1.3920012026543986,90.50413042778281,8.08830761292668e-06
