Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,returns,log_returns
2010-01-05 00:00:00-05:00,84.74400378292799,85.05825705633967,84.4372286528073,85.02084350585938,111579900,0.0,0.0,0.0,0.002647008861991429,0.0026435117040130916
2010-01-06 00:00:00-05:00,84.93854670898989,85.29021356785614,84.87120916163605,85.0807113647461,116074400,0.0,0.0,0.0,0.0007041550803079666,0.0007039072794394084
2010-01-07 00:00:00-05:00,84.92361048009796,85.5446391338271,84.68417850267944,85.43988800048828,131091100,0.0,0.0,0.0,0.004221598879238009,0.004212712930518583
2010-01-08 00:00:00-05:00,85.21535830233005,85.7615651506607,85.04326972181128,85.72415161132812,126402800,0.0,0.0,0.0,0.0033270597316117367,0.003321537313935129
2010-01-11 00:00:00-05:00,86.10576503065045,86.14317286886842,85.47725283842739,85.84388732910156,106375700,0.0,0.0,0.0,0.0013967559377703331,0.0013957813815680445
2010-01-12 00:00:00-05:00,85.27524484790531,85.45481733519773,84.71407583017339,85.04329681396484,163333500,0.0,0.0,0.0,-0.009326121405330512,-0.009369881965606393
2010-01-13 00:00:00-05:00,85.26026615785628,86.00101327593866,84.82629984519355,85.76158142089844,161822000,0.0,0.0,0.0,0.008446104911770558,0.008410636143036526
2010-01-14 00:00:00-05:00,85.66433212937676,86.15067982469026,85.61195657502037,85.9935531616211,115718800,0.0,0.0,0.0,0.002704844487232405,0.002701192978409321
2010-01-15 00:00:00-05:00,85.8439196459377,85.92621920440209,84.69912976218899,85.02835083007812,212283100,0.0,0.0,0.0,-0.011224124321609463,-0.011287590150779615
2010-01-19 00:00:00-05:00,85.01336445515604,86.1431805987205,84.9909129000037,86.09080505371094,139172700,0.0,0.0,0.0,0.012495293784493544,0.012417871873674187
2010-01-20 00:00:00-05:00,85.50719286950971,85.63438981013572,84.53450333068523,85.21538543701172,216490200,0.0,0.0,0.0,-0.01016856116228737,-0.010220614150318072
2010-01-21 00:00:00-05:00,85.237835892578,85.49971363993842,83.4720234982238,83.57677459716797,344859600,0.0,0.0,0.0,-0.01922904920796209,-0.019416332109894862
2010-01-22 00:00:00-05:00,83.20265859458345,83.60670097811244,81.6239026122505,81.71369171142578,345942400,0.0,0.0,0.0,-0.022291873486648295,-0.022544092637046598
2010-01-25 00:00:00-05:00,82.46194969534706,82.61159825316328,81.86337258960853,82.13272857666016,186937500,0.0,0.0,0.0,0.005128110803195751,0.005115006823006694
2010-01-26 00:00:00-05:00,81.81096666277043,82.65646506127828,81.58650245644192,81.78852081298828,211168800,0.0,0.0,0.0,-0.0041908721363201895,-0.004199678453663645
2010-01-27 00:00:00-05:00,81.68375037475799,82.36463810236265,81.05524389558973,82.17758178710938,271863600,0.0,0.0,0.0,0.004756914176387905,0.004745635812809765
2010-01-28 00:00:00-05:00,82.44692901340177,82.49182069454123,80.74097662804547,81.23480224609375,316104000,0.0,0.0,0.0,-0.011472466340735177,-0.01153878277934512
2010-01-29 00:00:00-05:00,81.58649406920821,82.15514694209463,80.22472414018218,80.35192108154297,310677600,0.0,0.0,0.0,-0.010868262618233149,-0.010927753619622779
2010-02-01 00:00:00-05:00,80.92056601562099,81.60893191034152,80.43421843685972,81.60144805908203,187865000,0.0,0.0,0.0,0.015550679569577674,0.015431006819210037
2010-02-02 00:00:00-05:00,81.75112525312079,82.7462608969063,81.466795890461,82.5891342163086,216327900,0.0,0.0,0.0,0.012103782233269245,0.012031117221118938
2010-02-03 00:00:00-05:00,82.21498962505659,82.66392934846903,81.93814993192541,82.17758178710938,172730700,0.0,0.0,0.0,-0.004983130445723294,-0.0049955876413610035
2010-02-04 00:00:00-05:00,81.54159085645924,81.57899869413097,79.6261303205877,79.64109802246094,356715700,0.0,0.0,0.0,-0.030865884703440094,-0.03135227078977799
2010-02-05 00:00:00-05:00,79.73088274524953,79.97031460271101,78.24939991111465,79.80570983886719,493585800,0.0,0.0,0.0,0.0020669204781660344,0.0020647873368843748
2010-02-08 00:00:00-05:00,79.86557416116766,80.30703009659625,79.16972434076837,79.22958374023438,224166900,0.0,0.0,0.0,-0.007219108755451842,-0.0072452926132449596
2010-02-09 00:00:00-05:00,80.15738818824984,80.92058132292264,79.51391386235198,80.2247314453125,337820500,0.0,0.0,0.0,0.012560304599615879,0.012482078323310972
2010-02-10 00:00:00-05:00,80.09754139911048,80.5090619956187,79.3942076081773,80.06761169433594,240511500,0.0,0.0,0.0,-0.0019584951940121442,-0.001960415553477464
2010-02-11 00:00:00-05:00,79.96284925231997,80.99539823246123,79.49894745680375,80.90560913085938,223591600,0.0,0.0,0.0,0.010466122553056234,0.010411731869619356
2010-02-12 00:00:00-05:00,80.05263314915994,80.88316379155664,79.69348815750591,80.83827209472656,304622100,0.0,0.0,0.0,-0.0008322913189355852,-0.0008326378656539321
2010-02-16 00:00:00-05:00,81.45180095836841,82.19254235554693,80.67364601538563,82.11023712158203,159317500,0.0,0.0,0.0,0.0157346884575289,0.015612181647081
2010-02-17 00:00:00-05:00,82.50682201682194,82.61157883692664,82.11026342170268,82.49934387207031,168845100,0.0,0.0,0.0,0.004738833598935122,0.0047276406740061235
2010-02-18 00:00:00-05:00,82.36462847419527,83.15774533143444,82.33469878223275,82.98565673828125,193708600,0.0,0.0,0.0,0.005894748289938523,0.005877442237814638
2010-02-19 00:00:00-05:00,82.76870115747947,83.47951305006012,82.5741609425125,83.15777587890625,222684900,0.0,0.0,0.0,0.0020740830089207574,0.0020719350682488757
2010-02-22 00:00:00-05:00,83.46451394245605,83.48695978256704,82.92579094577376,83.1727066040039,132346900,0.0,0.0,0.0,0.00017954695083965966,0.0001795308342149801
2010-02-23 00:00:00-05:00,82.9482748183571,83.2026687342629,81.94564973515213,82.16263580322266,207497000,0.0,0.0,0.0,-0.012144257918530021,-0.012218601933770685
2010-02-24 00:00:00-05:00,82.40955664808463,83.05303103894082,82.20005442008636,82.91835021972656,176350700,0.0,0.0,0.0,0.009197786915135175,0.009155744872269219
2010-02-25 00:00:00-05:00,81.73613644850695,82.86595833662514,81.51167226637843,82.80609893798828,259634700,0.0,0.0,0.0,-0.0013537568154796675,-0.0013546739720688324
2010-02-26 00:00:00-05:00,82.88092821033565,83.1428116771388,82.3871023959068,82.85848236083984,173589300,0.0,0.0,0.0,0.0006326034377104328,0.0006324034285022944
2010-03-01 00:00:00-05:00,83.20267095717574,83.80125362360444,83.18022510617345,83.71894836425781,147709700,0.0,0.0,0.0,0.010384766639470078,0.010331215376230163
2010-03-02 00:00:00-05:00,84.07807696497474,84.35491666577738,83.80123155566622,83.95087432861328,160992400,0.0,0.0,0.0,0.002770292375704031,0.0027664621879765227
